Lemmings,
Cover art by Adrian Powell[1],
Developer(s),"DMA Design FRED Publishing (SAM Coupé) Imagineer (FM Towns, PC 98, X68000) Krisalis Software (Archimedes) Ocean Software (GB) Probe (SMS, GG) SunSoft (MD, SNES) Rusty Nutz (PS2) J-Wing (GBC) Team17 (PSP)"
Publisher(s),"Psygnosis Data East (arcade prototype) Sega (Mega Drive (Genesis PAL), SMS and GG) Ocean Software (GB, NES PAL) Sony (PSP) SunSoft (NES, MD/GEN, SNES, TG-16) Take-Two Interactive (GBC)"
Designer(s),David Jones
Programmer(s),David Jones Mike Dailly
Artist(s),Mike Dailly Gary Timmons Scott Johnston
Composer(s),Tim Wright Brian Johnston
Platform(s),"Amiga, various"
Release,"14 February 1991 3DO NA: 1993 JP: 1994 Amiga NA: 14 February 1991 EU: 14 February 1991[2] Amiga CD32 UK: 1994 Amstrad CPC EU: 1992 Atari Lynx EU: 1993 Atari ST EU: March 1991 CD-i WW: 1993 Commodore 64 WW: 1993 DOS NA: May 1991 EU: 1991 FM Towns JP: April 1992 Game Boy NA: August 1994 Game Boy Color NA: 20 December 2000 Game Gear JP: 5 February 1993 NA: 1992 EU: 1992 JM2E EU: 25 March 2005 Macintosh EU: 1993 NES NA: November 1992 EU: 1992 PC-98 JP: 17 December 1991 PlayStation 3 JP: 30 November 2006 NA: 7 December 2006 EU: 23 March 2007 Sega Master System EU: 1992 Sega Mega Drive JP: 20 November 1992 NA: September 1992 EU: 1992 Sharp X68000 JP: 17 April 1992 Super NES JP: 18 December 1991 NA: March 1992 EU: August, 1992[3] TurboGrafx-16 JP: 27 November 1991 Windows 3.x NA: 1994 EU: 1994 ZX Spectrum EU: 1991"
Genre(s),Puzzle
Mode(s),"Single-player, multiplayer (on some systems)"
