Software,API,,Sybase,,Apache Derby,IBM,,,,Firebird,Microsoft,,MySQL,Oracle,PostgreSQL
,ODBC,JDBC,ASA,ASE,,DB2,DB2 for iSeries,Cloudscape,Informix,,SQL Server,Azure SQL,,,
AdroitLogic UltraESB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
Anypoint Platform,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Apache Synapse,Yes,Yes,,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,
Artix ESB,,,,,,,,,,,,,,,
Automation Anywhere Integration Pack,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,
BizTalk Server,Yes[36],Yes[37],Yes[38],Yes[38],Yes[38],Yes,Yes,Yes[38],Yes[38],Yes[39],Yes,Yes,Yes[40],Yes,Yes[40]
Flow Software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
IBM Integration Bus [32],Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Informatica Power Center,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Yes,
JBoss Enterprise Service Bus (ESB),No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,
JBoss Enterprise SOA Platform,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,,
Openadaptor,,Yes,,,,Yes,,,Yes,,Yes,,Yes,Yes,
OpenESB,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,
OpenLink Virtuoso,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Oracle BPEL Process Manager,,,,,,,,,,,,,,,
Oracle Enterprise Service Bus,,,,,,,,,,,,,,,
PEtALS ESB,,,,,,,,,,,,,Yes,,
SAP Exchange Infrastructure,,Yes,,,,Yes,,,,,Yes,,,Yes,
Sun Java Composite Application Platform Suite,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,
Unify NXJ,,,,,,,,,,,,,,,
WSO2 Enterprise Service Bus (ESB),Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,
