Ido,IPA,Novial
"A, a",{{IPA|/a/}},"A, a"
"B, b",{{IPA|/b/}},"B, b"
"C, c",{{IPA|/ts/}},"TS, ts"
"CH, ch;",{{IPA|/tʃ/}},"CH, ch"
"D, d",{{IPA|/d/}},"D, d"
"E, e",{{IPA|/e/}} or {{IPA|/ɛ/}},"E, e"
"F, f",{{IPA|/f/}},"F, f"
"G, g",{{IPA|/ɡ/}},"G, g"
"Dj, dj",{{IPA|/dʒ/}},"J, j"
"H, h",{{IPA|/h/}},"H, h"
"I, i",{{IPA|/i/}},"I, i"
"J, j",{{IPA|/ʒ/}},"J, j"
"K, k",{{IPA|/k/}},"K, k"
"L, l",{{IPA|/l/}},"L, l"
"M, m",{{IPA|/m/}},"M, m"
"N, n",{{IPA|/n/}},"N, n"
"O, o",{{IPA|/o/}} or {{IPA|/ɒ/}},"O, o"
"P, p",{{IPA|/p/}},"P, p"
"QU, qu",{{IPA|/kw/}} or {{IPA|/kv/}},"QU, qu"
"R, r",{{IPA|/r/}},"R, r"
"S, s",{{IPA|/s/}},"S, s (also Z,z)"
"SH, sh",{{IPA|/ʃ/}},"SH, sh"
"T, t",{{IPA|/t/}},"T, t"
"U, u",{{IPA|/u/}},"U, u"
"W, w",{{IPA|/w/}},"W, w (before a vowel) U, u (after a vowel)"
"V, v",{{IPA|/v/}},"V, v"
"X, x",{{IPA|/ks/}} or {{IPA|/ɡz/}},"X, x"
"Y, y",{{IPA|/j/}},"Y, y"
"Z, z",{{IPA|/z/}},"Z, z (also S, s)"
