First public release,,First stable release,,Latest stable release
Client,Date,Version,Date,
Bersirc,1999,,,
BitchX,1996,,,
ChatZilla,2001,,,
Colloquy,2005,,,
degesch,2015,0.9,2015,0.9
DMDirc,2007,,,
ERC,1999?,,,
F-IRC,2006?,0.1,,
HexChat,2009-10-04,r249,2009-10-09,2.86.0
HydraIRC,2002,,,
IceChat,2002,3.0,2002-04-08,3.0
ircII,1990,,,
IRCjr,2008,,2008,
Ircle,1995,,,
Irssi,1999,,,
jIRCii,?,?,,
KVIrc,1998,0.6.0,1999-12-21,1.0.0
Konversation,2002,,,
LeafChat,?,1.0,,
LimeChat,2007,,,
Linkinus,2007,,,
Mibbit,2008,,,
mIRC,1995,,,
Nettalk,2004,,,
Opera,1996,,,
PIRCH,1995,,,
PJIRC,2002,,,
Quassel,2008-08-27,0.3.0,,
qwebirc,2009,0.81,,
rIRC,2010,Preview Release 1,2012,1.44
Scrollback,2013,,2013,
rcirc,?,?,,
Smuxi,2008-07-29,0.6,2010-09-03,0.8
Snak,1997,,,
Visual IRC,1995,,,
WeeChat,2003,,,
XChat,1998,,,
Client,Date,Version,Date,Version
,First public release,,First stable release,
