,Get object type,Is instance of (includes subtypes),Upcasting,Downcasting,
,,,,Runtime check,No check
ABAP Objects,colspan=2 {{n/a}}[71],=,?=,,
C++ (STL),typeid(x),dynamic_cast<type *>(&x) != NULL,rowspan=8 {{n/a}}[72],dynamic_cast<type*>(ptr),(type*) ptr or static_cast<type*>(ptr)
C#,x.GetType(),x is type,(type) x or x as type,,
D,typeid(x),,cast(type) x,,
Delphi,,x is type,x as type,,
eC,x._class,"eClass_IsDerived(x._class, type)",,(type) x,
Java,x.getClass(),x instanceof class,(type) x,,
Objective-C (Cocoa),[x class][73],[x isKindOfClass:[class class]],,(type*) x,
Swift,x.dynamicType,x is type,x as! type x as? type,,
JavaScript,x.constructor (If not rewritten.),x instanceof class,colspan=3 {{n/a}}[74],,
Visual Basic .NET,x.GetType(),TypeOf x Is type,{{n/a}}[72],"CType(x, type) or TryCast(x, type)",
Xojo,Introspection.GetType(x),x IsA type,{{n/a}},"CType(x, type)",{{n/a}}
Eiffel,x.generating_type,attached {TYPE} x,attached {TYPE} x as down_x,,
Python,type(x),"isinstance(x, type)",colspan=3 rowspan=3 {{n/a}}[74],,
PHP,get_class(x),x instanceof class,,,
Perl,ref(x),x->isa("class"),,,
Perl 6,x.WHAT,x.isa(class),{{n/a}}[72],type(x) or x.type,
Ruby,x.class,x.instance_of?(type) or x.kind_of?(type),colspan=3 rowspan=2 {{n/a}}[74],,
Smalltalk,x class,x isKindOf: class,,,
Windows PowerShell,x.GetType(),x -is [type],{{n/a}}[72],[type]x or x -as [type],
OCaml,colspan=2 {{n/a}}[75],(x :> type),colspan=2 {{n/a}},,
F#,x.GetType(),,x :? type,(x :?> type),
COBOL,colspan=2 {{n/a}},x AS type[72],colspan=2 {{n/a}},,
